time,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,Velocity_14,Velocity_15,Velocity_16,Velocity_17,Velocity_18,Velocity_19,Velocity_20,Velocity_21,Velocity_22,Velocity_23,Velocity_24,Velocity_25
7.30E-01,3.579416232,5.006353177,3.21,5.738522259,3.98,2.550064072,4.14,3.952844843,4.266392879,4.54,5.252477462,3.297491583,4.38,4.39,3.925825855,4.099096139,5.369276663,5.13,4.14,3.37,3.94070405,4.572873167,4.431637376,3.2,4.227954615
7.40E-01,4.72747568,4.12,3.333210997,4.88,4.172058575,2.106073381,4.24,4.01,4.000553236,4.56,4.75,2.583850183,5.285870329,4.632747257,4.267420033,3.96,4.57,4.541564205,4.17,3.7,3.68,3.07908558,5.620842492,3.32,4.766739504
7.50E-01,4.21,3.997621493,3.225739467,4.432084371,4.725011758,3.12,4.36,4.04,4.489582875,4.58,4.77,3.439304462,4.111593898,4.723087163,2.540600127,3.32335384,4.75,4.304629407,4.787370286,4.270224656,4.199177178,4.783976442,4.69,3.001477303,3.314027146
7.60E-01,4.23,4.24,3.34,4.601958957,4.04,4.022298048,4.02267416,4.09,4.02,4.61,5.302369305,3.532064411,3.979439769,4.56,4.1964273,4.124134485,4.73,4.94,4.24,3.49,3.178080481,3.95,4.011298619,4.700167434,3.647147047
7.70E-01,3.973725764,3.83,3.38,5.00245854,4.905685762,3.109463745,5.533233997,3.803519559,3.95,5.426676465,5.114084796,2.956633069,3.981053164,4.71,3.466228468,3.843858142,4.657997285,4.95,4.28,4.287764967,4.691350564,3.96,3.571485278,4.345280638,3.94557032
7.80E-01,4.26,4.698945837,2.530970685,4.495652228,3.970493996,3.27,5.210139128,4.15,3.94530944,5.434034261,4.84,3.610215952,4.58,4.817641464,2.786391705,4.63,4.732506529,5.250461415,4.39556927,4.017290659,3.371744695,3.501177483,3.577003285,4.31696122,4.039231049
7.90E-01,3.600742853,5.060195585,4.129124752,5.838814593,4.250665281,2.331127089,5.438036455,4.18,5.275326499,4.63,4.043850302,3.66,4.62,4.469220269,3.59,4.63,4.835433901,4.816198677,4.528779332,3.54,3.91,5.078609017,5.391135526,4.988452795,3.615791447
8.00E-01,3.404834397,4.932443225,3.892071361,4.95,4.126649255,2.724044715,4.73,4.495566893,5.352255791,4.397383798,4.89,3.8,4.964019948,4.92,3.575484453,4.61,4.72,4.768202355,4.38,2.699739793,4.907269064,4.7,3.962775586,4.473749915,4.41
8.10E-01,4.147411769,4.06,3.992898055,4.96,3.939079719,4.40456624,4.75,3.666479836,4.74,4.636288708,4.92,3.224459634,5.245774398,4.93,4.394695504,4.483738193,4.434663435,4.97,4.520644613,3.94,4.484152787,4.121164856,4.722116346,3.988930634,4.56
8.20E-01,5.211423521,3.98338324,4.361812021,5.721435581,3.53307876,3.55,4.76,4.27,4.78,4.66,5.660199491,4.25442197,4.75,4.95,3.7,3.999983811,5.514644191,4.304249728,5.257371759,4.34,4.473213025,4.66859996,5.33197865,4.0127203,4.912587844
8.30E-01,4.35,3.461861572,3.65,4.874010565,4.29,3.085208563,5.667337097,3.963492317,4.682793874,4.67,4.97,4.23,5.607012992,4.96,4.390702995,4.11,4.73,4.99,4.083731059,4.18,3.557514035,5.226366789,4.51,4.12,5.106357152
8.40E-01,3.69582904,3.552257187,4.577523424,4.99,4.31,4.470869788,3.957971559,5.20407032,4.236585403,5.063458753,5,4.25,3.948620674,4.98,4.155183386,3.595417066,4.73,5.792555121,4.161356141,4.103749313,3.559213058,4.877293407,5.515958325,4.12,5.531914607
8.50E-01,3.650774392,4.37,3.255002113,5.191711661,5.026333823,3.500027293,4.85,4.35,3.968382857,4.282222257,5.081040765,4.681873273,5.292662923,5,4.751800297,4.912630927,5.431500934,5.432315918,3.68959445,4.518816555,3.332428205,5.594018379,4.543397501,3.620704673,4.85
8.60E-01,5.36782286,4.49,4.518971251,5.613587032,4.35,4.843715756,4.91,4.38,5.731716273,4.695574376,5.05,4.689194154,4.91,4.386955099,4.817375037,4.498748651,4.75,5.958024361,5.208609438,4.541590445,3.83,4.76,4.45444698,4.533345856,5.444047035
8.70E-01,4.41,4.56,4.813531805,4.686895382,4.38,4.417792142,5.899499986,3.490163,4.171641336,4.87,4.963197949,4.008962414,4.316749204,4.971016948,5.222072963,3.96336416,3.928256171,4.77061019,4.67,4.4,3.87,5.0145624,4.58,4.247186378,4.529216473
8.80E-01,4.41,4.358657038,4.366551014,5.072413351,4.139710709,3.978086359,5.01,3.935856597,5.596580167,4.96,4.729516116,3.335562922,4.99,4.431745567,3.857350648,4,4.556469988,5.06,4.968689605,4.54,3.845079755,5.687199632,3.617094433,5.1669605,4.85
8.90E-01,3.744973697,4.64,4.36679751,3.884051116,4.120030284,3.69,5.04,4.529268973,4.195391357,4.216559437,5.14,4.47105051,4.372516858,5.271954458,4.4,4.121358619,4.677729366,5.07,4.74,5.024181587,3.71,4.79,5.559134114,5.662764483,4.85
9.00E-01,3.936347164,4.982895076,4.709398999,4.64,5.360375659,3.92,5.07,5.09,3.936547162,5.090136892,5.579088787,4.23,5.07,6.142845391,4.43,3.96,4.192921239,5.09,4.727973044,4.968518794,3.96,4.81,4.208037118,4.98,3.948069618
9.10E-01,4.45,4.8,3.101925394,4.814764137,4.72,4.814661321,4.821671337,4.575274243,4.605527321,5.35231731,5.2,4.549353119,4.160171414,5.67498908,4.383638027,4.514128769,4.35788432,5.559986567,4.660346497,4.205277497,3.95,5.110846819,4.67,5.536729162,5.712953468
9.20E-01,3.679293094,5.139911838,4.08,5.344238965,5.504741269,4.171929925,5.18,4.796108676,4.87,5.07,4.432171072,4.24,5.696832617,4.824407395,5.019281451,4.064997082,4.83,5.60038222,4.842668271,4.755291235,3.125959824,4.85,4.7,4.97,5.363446639
